time_iso8601,forks_cumulative
2022-12-21 00:00:00+00:00,1
2022-12-22 00:00:00+00:00,2
2022-12-24 00:00:00+00:00,3
2022-12-26 00:00:00+00:00,5
2023-01-03 00:00:00+00:00,6
2023-01-05 00:00:00+00:00,7
2023-01-07 00:00:00+00:00,8
2023-01-13 00:00:00+00:00,9
2023-01-14 00:00:00+00:00,10
2023-01-31 00:00:00+00:00,14
2023-02-01 00:00:00+00:00,15
2023-02-05 00:00:00+00:00,16
2023-02-08 00:00:00+00:00,17
2023-02-09 00:00:00+00:00,19
2023-02-14 00:00:00+00:00,20
2023-02-17 00:00:00+00:00,21
2023-02-18 00:00:00+00:00,22
2023-02-19 00:00:00+00:00,23
2023-02-21 00:00:00+00:00,24
2023-02-22 00:00:00+00:00,25
2023-02-23 00:00:00+00:00,27
2023-02-24 00:00:00+00:00,28
2023-02-27 00:00:00+00:00,29
2023-03-08 00:00:00+00:00,30
2023-03-09 00:00:00+00:00,31
2023-03-11 00:00:00+00:00,32
2023-03-14 00:00:00+00:00,33
2023-03-15 00:00:00+00:00,34
2023-03-19 00:00:00+00:00,35
2023-03-24 00:00:00+00:00,36
2023-03-26 00:00:00+00:00,37
2023-03-29 00:00:00+00:00,38
2023-04-13 00:00:00+00:00,39
2023-04-23 00:00:00+00:00,40
2023-05-11 00:00:00+00:00,41
2023-05-14 00:00:00+00:00,42
2023-05-25 00:00:00+00:00,43
2023-05-31 00:00:00+00:00,44
2023-06-12 00:00:00+00:00,45
2023-06-14 00:00:00+00:00,46
2023-06-15 00:00:00+00:00,47
2023-06-23 00:00:00+00:00,48
2023-06-24 00:00:00+00:00,49
2023-06-25 00:00:00+00:00,50
2023-06-30 00:00:00+00:00,51
2023-07-04 00:00:00+00:00,53
2023-07-08 00:00:00+00:00,54
2023-07-11 00:00:00+00:00,55
2023-07-19 00:00:00+00:00,56
2023-07-26 00:00:00+00:00,57
2023-07-28 00:00:00+00:00,58
2023-08-08 00:00:00+00:00,59
2023-08-11 00:00:00+00:00,60
2023-08-14 00:00:00+00:00,61
2023-08-24 00:00:00+00:00,62
2023-08-29 00:00:00+00:00,63
2023-09-08 00:00:00+00:00,64
2023-09-25 00:00:00+00:00,65
2023-10-15 00:00:00+00:00,66
2023-10-19 00:00:00+00:00,68
2023-10-22 00:00:00+00:00,69
2023-11-03 00:00:00+00:00,70
2023-11-14 00:00:00+00:00,71
2023-11-15 00:00:00+00:00,72
2023-11-18 00:00:00+00:00,73
2023-11-20 00:00:00+00:00,74
2023-11-23 00:00:00+00:00,75
2023-12-13 00:00:00+00:00,76
2023-12-14 00:00:00+00:00,77
2023-12-25 00:00:00+00:00,78
2024-01-18 00:00:00+00:00,79
2024-01-20 00:00:00+00:00,80
2024-01-22 00:00:00+00:00,81
2024-02-01 00:00:00+00:00,82
2024-02-20 00:00:00+00:00,83
2024-03-07 00:00:00+00:00,84
2024-03-08 00:00:00+00:00,85
2024-03-16 00:00:00+00:00,86
2024-03-24 00:00:00+00:00,87
2024-03-28 00:00:00+00:00,88
2024-03-29 00:00:00+00:00,89
2024-04-02 00:00:00+00:00,90
2024-04-07 00:00:00+00:00,91
2024-05-05 00:00:00+00:00,92
2024-05-06 00:00:00+00:00,93
2024-05-22 00:00:00+00:00,94
2024-05-27 00:00:00+00:00,95
2024-06-07 00:00:00+00:00,96
2024-06-09 00:00:00+00:00,97
2024-06-10 00:00:00+00:00,98
2024-06-19 00:00:00+00:00,99
2024-07-02 00:00:00+00:00,100
2024-07-05 00:00:00+00:00,101
2024-07-10 00:00:00+00:00,102
2024-07-23 00:00:00+00:00,103
2024-07-26 00:00:00+00:00,104
2024-07-29 00:00:00+00:00,105
2024-08-03 00:00:00+00:00,106
2024-08-25 00:00:00+00:00,107
2024-08-27 00:00:00+00:00,108
2024-09-08 00:00:00+00:00,109
2024-09-13 00:00:00+00:00,110
2024-10-13 00:00:00+00:00,111
2024-10-21 00:00:00+00:00,112
2024-10-31 00:00:00+00:00,113
