time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,6.0,5.0,133,27
2024-10-23 00:00:00+00:00,,,100,26
2024-10-24 00:00:00+00:00,5.0,3.0,126,30
2024-10-25 00:00:00+00:00,3.0,2.0,91,23
2024-10-26 00:00:00+00:00,6.0,3.0,71,24
2024-10-27 00:00:00+00:00,3.0,3.0,126,19
2024-10-28 00:00:00+00:00,5.0,3.0,69,31
2024-10-29 00:00:00+00:00,1.0,1.0,108,32
2024-10-30 00:00:00+00:00,3.0,1.0,139,25
2024-10-31 00:00:00+00:00,5.0,4.0,145,38
2024-11-01 00:00:00+00:00,1.0,1.0,109,37
2024-11-02 00:00:00+00:00,,,67,25
2024-11-03 00:00:00+00:00,5.0,4.0,64,24
2024-11-04 00:00:00+00:00,5.0,4.0,109,28
